순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,드라마,육상효,신하균,5,2019,6,2,1,10,84,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,코미디,육상효,신하균,5,2019,6,2,0,10,84,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,드라마,육상효,이광수,5,2019,6,2,1,10,85,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,코미디,육상효,이광수,5,2019,6,2,0,10,85,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,드라마,육상효,이솜,5,2019,6,2,1,10,86,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,코미디,육상효,이솜,5,2019,6,2,0,10,86,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,드라마,육상효,박철민,5,2019,6,2,1,10,87,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,코미디,육상효,박철민,5,2019,6,2,0,10,87,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,드라마,육상효,권해효,5,2019,6,2,1,10,88,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,코미디,육상효,권해효,5,2019,6,2,0,10,88,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,드라마,육상효,길해연,5,2019,6,2,1,10,89,1
11,나의 특별한 형제,12068227074,12068227074,1476121,1476121,936,(주)넥스트엔터테인먼트월드(NEW),12세관람가,코미디,육상효,길해연,5,2019,6,2,0,10,89,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,설경구,4,2019,6,3,1,11,90,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,전도연,4,2019,6,3,1,11,91,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,김보민,4,2019,6,3,1,11,92,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,윤찬영,4,2019,6,3,1,11,93,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,박종환,4,2019,6,3,1,11,94,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,성유빈,4,2019,6,3,1,11,95,1
12,생일,9882574840,9882574840,1197151,1197151,878,(주)넥스트엔터테인먼트월드(NEW),전체관람가,드라마,이종언,탕준상,4,2019,6,3,1,11,96,1
