순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
1443 ,달콤한 여선배,2017년 8월 28일 월요일,3000 ,0.0%,3000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,멜로/로맨스,양석우,이소연
1443 ,달콤한 여선배 무삭제,2017년 11월 27일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사히트,(주)영화사히트,청소년관람불가,,양석우,
1443 ,대구단편 2,,5000 ,0.0%,5000 ,1 ,1 ,1 ,2 ,한국,한국,,,,기타,,
1443 ,동생의 여자,2018년 11월 22일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이피에이기획,(주)케이피에이기획,청소년관람불가,멜로/로맨스,장두만,이윤경
1443 ,동생의착한아내-무삭제,,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,스마일컨텐츠,스마일컨텐츠,청소년관람불가,멜로/로맨스,최은정,
1443 ,동창생의 목적-무삭제판,2018년 5월 1일 화요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,동창회의 목적 2 (무삭제),2017년 10월 27일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,영화사 인연,영화사 인연,청소년관람불가,멜로/로맨스,성우진,
1443 ,동창회의 목적 3(무삭제),2018년 4월 27일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이도시,
1443 ,동창회의 목적: 더 비기닝 (무삭제),2017년 7월 26일 수요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,"멜로/로맨스,드라마",정대만,
1443 ,동호회의 목적 무삭제,2017년 6월 19일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,"멜로/로맨스,드라마",조경훈,
1443 ,두 부부의 정사,2018년 3월 30일 금요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,하즈키 노조미
1443 ,두 부부의 정사 무삭제,2018년 7월 23일 월요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
1443 ,두 엄마 (무삭제),2017년 10월 27일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이도시,
1443 ,두 엄마 2018,2018년 10월 16일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
1443 ,두 엄마 2018 (감독판),2018년 12월 7일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
1443 ,딸의 애인-무삭제판,2018년 8월 15일 수요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,골드피쉬프로덕션,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
1443 ,딸의 친구,2017년 1월 21일 토요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,최우성,
1443 ,딸의 친구 2 - 무삭제판,2018년 1월 24일 수요일,3000 ,0.0%,3000 ,1 ,1 ,1 ,1 ,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,계장혁,
1443 ,룸싸롱 여대생들 무삭제,2018년 10월 16일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,리턴,2018년 6월 22일 금요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)레드언더미디어,(주)레드언더미디어,청소년관람불가,,최석원,
1443 ,마지막 정사: 여럿이 다같이-감독판,2018년 11월 28일 수요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
1443 ,만화가게 아줌마: 손님이 없던 날,2017년 6월 19일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,만화가게 아줌마: 손님이 없던 날 (무삭제),2017년 9월 26일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,맛있는 떡 무삭제판,2017년 7월 11일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이승환,
1443 ,맛있는 섹스 그리고 그 여자-감독판,2018년 6월 12일 화요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
1443 ,맛있는 섹스 그리고 여친,2017년 6월 27일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,맛있는 섹스 그리고 여친 무삭제 특별판,2018년 5월 3일 목요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,맛있는 섹스 누나 친구-무삭제판,2018년 10월 16일 화요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
1443 ,맛있는 영화 무삭제 감독판,2017년 8월 8일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"드라마,코미디",박범수,
1443 ,맛있는 유혹,2018년 4월 3일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,맛있는 유혹 무삭제판,2018년 5월 15일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,매춘 2016 무삭제,2017년 5월 30일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,이상우,"백세리,안소희"
1443 ,물좋은하숙집,,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,,,청소년관람불가,멜로/로맨스,장두만,
1443 ,미스 푸줏간,2017년 7월 11일 화요일,3000 ,0.0%,1715000 ,1 ,215 ,1 ,1 ,한국,한국,(주)전망좋은 영화사,(주)드림팩트엔터테인먼트,청소년관람불가,"코미디,멜로/로맨스,드라마",지길웅,"김민준,서영,임성언,이준혁,공정환,김해숙,이태호,박준호,양상민,이상훈,한창혁,한화성,황인범,윤원준"
1443 ,미용실 : 특별한 서비스 2 무삭제,2018년 6월 4일 월요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,미투 숨겨진진실 무삭제,2018년 10월 26일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,노다지엔터테인먼트,노다지엔터테인먼트,청소년관람불가,,마현진,
1443 ,밀애 : 부부카풀 무삭제,2018년 11월 13일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,임현태,
1443 ,밀애 : 사장님의 젊은 아내,2018년 2월 6일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,"이상민,이상민",
1443 ,밀애 : 사장님의 젊은 아내 무삭제,2018년 11월 20일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
1443 ,밀애 : 아내의 여동생 무삭제판,2018년 11월 22일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
1443 ,밀애 : 친구엄마 무삭제판,2018년 10월 2일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
1443 ,바람난 아내,2017년 9월 5일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,"드라마,멜로/로맨스",이민,
1443 ,바람난 아내들,2018년 10월 23일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이피에이기획,(주)케이피에이기획,청소년관람불가,멜로/로맨스,장두만,이채담
1443 ,바람난 아내들2,2018년 12월 11일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이피에이기획,(주)케이피에이기획,청소년관람불가,멜로/로맨스,장두만,이채담
1443 ,바람난 애인,2017년 1월 5일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김정오,
1443 ,바람난 애인 무삭제,2017년 7월 11일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김정오,
1443 ,바람난 여자들2 무삭제,2018년 11월 6일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,발칙한 동거 무삭제,2018년 3월 1일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,,오재학,
1443 ,변강쇠 VS 어우동,2017년 10월 18일 수요일,3000 ,0.0%,3000 ,1 ,1 ,1 ,1 ,한국,한국,(주)컨텐츠 빌리지,(주)컨텐츠 빌리지,청소년관람불가,멜로/로맨스,정진호,이수일
1443 ,부부 교환의 날 2017,2017년 8월 21일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
1443 ,부부 교환의 날 2017 (무삭제),2018년 2월 13일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
1443 ,부부교환섹스 2,2017년 12월 8일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환섹스 2 (무삭제),2018년 1월 25일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환섹스 3,2018년 3월 26일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환섹스 3-무삭제판,2018년 4월 27일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환의 날 2017: 친구의 아내를 탐하다,2017년 11월 9일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환의 날 2017: 친구의 아내를 탐하다 -무삭제판,2018년 1월 31일 수요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환의 날: 젊은 사모님을 탐하다,2018년 3월 26일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,부부교환의 날: 젊은 사모님을 탐하다-무삭제판,2018년 4월 27일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,불륜 동창회 무삭제,2018년 10월 16일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,불륜가족 무삭제,2017년 10월 17일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,,
1443 ,불륜의 유혹,2017년 6월 27일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,불륜의 후예 무삭제판,2017년 2월 9일 목요일,3000 ,0.0%,3000 ,1 ,1 ,1 ,1 ,한국,한국,선셋 시네마,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,이상수,"이채담,최채일,채예진,문재훈"
1443 ,붉은 비키니,2017년 7월 25일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,기타,최무연,
1443 ,비뇨기과 여의사들 무삭제,2018년 5월 24일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,비밀정사 : 작은엄마,2018년 1월 18일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,"이상민,이상민",
1443 ,비밀정사:작은엄마 무삭제,2018년 7월 24일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
1443 ,사촌 누나 무삭제,2018년 11월 13일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,사촌 여동생들: 금단의 사랑,2018년 5월 30일 수요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,사촌 여동생들: 금단의 사랑(무삭제),2018년 7월 3일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,사촌누나들,2018년 3월 30일 금요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,시지미
1443 ,사촌누나들 무삭제,2018년 7월 23일 월요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
1443 ,사촌누나와 동거,2017년 11월 24일 금요일,3000 ,0.0%,3000 ,1 ,1 ,1 ,1 ,한국,한국,(주)이놀미디어,(주)이놀미디어,청소년관람불가,"멜로/로맨스,드라마,코미디",김순수,"박소영,이은미"
1443 ,사촌여동생 무삭제판,2018년 1월 17일 수요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,케이제이픽처스,케이제이픽처스,청소년관람불가,,양호열,
1443 ,사춘기 여동생,2018년 9월 12일 수요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,선셋 시네마,선셋 시네마,청소년관람불가,멜로/로맨스,이상수,"이소희,도모세,이강우"
1443 ,새아빠,2018년 6월 15일 금요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
1443 ,새엄마 2 무삭제,2018년 6월 19일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,이리단,
1443 ,새엄마 2017: 아버지의 아내를 탐하다,2017년 6월 19일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
1443 ,새엄마 2017: 아버지의 아내를 탐하다(무삭제),2017년 8월 7일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진,
1443 ,새엄마 2: 그녀의 남자가 되다,2017년 12월 8일 금요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,새엄마 2: 그녀의 남자가 되다 (무삭제),2018년 1월 31일 수요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,새엄마 : 나의 섹스 교사,2017년 6월 1일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,
1443 ,새엄마 : 나의 섹스 교사 무삭제판,2017년 7월 20일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,
1443 ,새엄마 무삭제,2017년 6월 19일 월요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,김무원,주예빈
1443 ,새엄마 새누나,2017년 9월 7일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,"멜로/로맨스,드라마",김민식,
1443 ,새엄마 새누나 무삭제판,2018년 1월 11일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김민식,
1443 ,새엄마는 전여친,2018년 1월 18일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,"이상민,이상민",
1443 ,새엄마는 전여친 무삭제,2018년 7월 24일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이상민,
1443 ,새엄마와 그녀의 여동생,2017년 6월 1일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,
1443 ,새엄마와 그녀의 여동생 무삭제판,2017년 9월 7일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,하야세 아리스
1443 ,새엄마의 섹스 교육,2017년 8월 17일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,
1443 ,새엄마의 섹스 교육 무삭제판,2018년 1월 9일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,
1443 ,새오빠 무삭제,2017년 4월 4일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,"멜로/로맨스,드라마",이상우,
1443 ,새오빠2 무삭제,2018년 11월 6일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
1443 ,선녀는 몸으로 운다-무삭제판,2018년 11월 28일 수요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이전,
1443 ,선배의 여자친구 무삭제,2017년 2월 23일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김정오,
1443 ,성 심청전,2017년 11월 21일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,골든타이드픽처스(주),골든타이드픽처스(주),청소년관람불가,,이슬,"정태호,이슬"
1443 ,성판17: 남자들의 17가지 성적 판타지 무삭제판,2018년 3월 12일 월요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,주식회사 레드아이스,주식회사 레드아이스,청소년관람불가,기타,송은주,
1443 ,섹남섹녀,2018년 4월 26일 목요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,,최석원,
1443 ,섹스 인 더 게임 무삭제판,2018년 9월 7일 금요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,선셋 시네마,선셋 시네마,청소년관람불가,,신성진,
1443 ,섹스는 맛있다,2018년 11월 6일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,(주)씨맥스커뮤니케이션즈,(주)씨맥스커뮤니케이션즈,청소년관람불가,,제임스 김,"김지오,김지현,이민우,이재훈"
1443 ,섹스의 목적-무삭제판,2018년 6월 19일 화요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,이민,
1443 ,소문의 여자,2018년 1월 2일 화요일,2000 ,0.0%,2000 ,1 ,1 ,1 ,1 ,한국,한국,골든타이드픽처스(주),골든타이드픽처스(주),청소년관람불가,,지슬,
1443 ,수상한 종업원(무삭제판),2018년 5월 29일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)가온콘텐츠,(주)가온콘텐츠,청소년관람불가,"멜로/로맨스,드라마",한동호,
1443 ,수상한 진료실: 엄마친구의 특별한 치료,2018년 3월 6일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,수상한 진료실: 엄마친구의 특별한 치료-무삭제판,2018년 4월 17일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,강정훈,
1443 ,스와핑 : 친구부부의 쾌락,2017년 1월 17일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김민식,
1443 ,스와핑 : 친구부부의 쾌락 2,2018년 8월 16일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,"정완경,안상진",
1443 ,스와핑 : 친구부부의 쾌락 2 무삭제,2018년 11월 12일 월요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,정완경,
1443 ,스와핑 : 친구부부의 쾌락 무삭제판,2017년 3월 28일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김민식,
1443 ,스와핑 : 친구의 아내 2 무삭제,2018년 11월 20일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,유해종,이은미
1443 ,스와핑 : 친구의 아내 무삭제판,2017년 3월 28일 화요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,"(주)영화사 사계절,마법사필름",(주)영화사 사계절,청소년관람불가,멜로/로맨스,홍성수,이채담
1443 ,스와핑 : 형의 여자,2017년 8월 17일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,하즈키 노조미
1443 ,스와핑 : 형의 여자 무삭제판,2018년 1월 9일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,최강호,
1443 ,스와핑 민박집- 무삭제판,2018년 11월 28일 수요일,1000 ,0.0%,1000 ,1 ,1 ,1 ,1 ,한국,한국,(주)케이알씨지,(주)케이알씨지,청소년관람불가,멜로/로맨스,박은수,
1443 ,스와핑 하던 날 무삭제,2017년 10월 31일 화요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사 사계절,(주)영화사 사계절,청소년관람불가,멜로/로맨스,명석환,"주예빈,백세리"
1443 ,시간위示間威,,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,,,,다큐멘터리,,
1443 ,시아버지와 두 며느리,2017년 2월 2일 목요일,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김민식,
1443 ,시아버지와 두 며느리 무삭제판,2017년 9월 21일 목요일,6000 ,0.0%,6000 ,1 ,1 ,1 ,1 ,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김민식,
1443 ,시아의 몽정기,,5000 ,0.0%,5000 ,1 ,1 ,1 ,1 ,한국,한국,,,청소년관람불가,멜로/로맨스,김다니엘,
