순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
292 ,검은 사제들,2015년 11월 5일 목요일,2352500 ,0.0%,42410940592 ,340 ,5443049 ,1 ,5 ,한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김수진,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철"
293 ,아워바디,,2266700 ,0.0%,2266700 ,338 ,338 ,1 ,3 ,한국,한국,한국영화아카데미,,,드라마,한가람,"최희서,안지혜,김정영,이재인,노수산나,오동민,최준영"
294 ,착한 친구엄마,2018년 10월 8일 월요일,1778000 ,0.0%,1778000 ,336 ,336 ,19 ,20 ,한국,한국,(주)소나무픽쳐스,(주)소나무픽쳐스,청소년관람불가,멜로/로맨스,이진명,이유나
295 ,MSFF2017 비정성시 2,,1996000 ,0.0%,1996000 ,334 ,334 ,1 ,3 ,한국,한국,,,,드라마,,
295 ,유관순,,668000 ,0.0%,1592000 ,334 ,796 ,1 ,8 ,한국,한국,,,,드라마,윤봉춘,"도금봉,한은진"
297 ,돼지꿈,,638000 ,0.0%,638000 ,333 ,333 ,1 ,6 ,한국,한국,,,,,한형모,"문정숙,허장강"
298 ,MSFF2017 희극지왕 1,,1984500 ,0.0%,1984500 ,332 ,332 ,1 ,3 ,한국,한국,,,,코미디,,
298 ,MSFF2018 비정성시 2,,1979900 ,0.0%,1979900 ,332 ,332 ,1 ,3 ,한국,한국,,,,드라마,,
300 ,사랑받지 못한 여자,2017년 1월 24일 화요일,2097000 ,0.0%,2097000 ,327 ,327 ,14 ,19 ,한국,한국,(주)케이피필름,(주)모멘텀엔터테인먼트,청소년관람불가,"드라마,멜로/로맨스",노진수,"김화연,신원호,윤예희,오동석,이광호,이상우"
301 ,DIMA 방송보도제작과 영상제 ‘추억이 오네요’ 2부,,1920000 ,0.0%,1920000 ,320 ,320 ,1 ,2 ,한국,한국,,,,기타,,
302 ,살인나비를 쫓는 여자,1979년 12월 8일 토요일,2687500 ,0.0%,2687500 ,318 ,318 ,1 ,4 ,한국,한국,(주)우진필림,,국민학생관람불가,"드라마,멜로/로맨스",김기영,"김자옥,김정철,김 만,남궁원"
303 ,MSFF2017 희극지왕 3,,1903000 ,0.0%,1903000 ,317 ,317 ,1 ,3 ,한국,한국,,,,코미디,,
304 ,MSFF2017 비정성시 1,,1961000 ,0.0%,1961000 ,315 ,315 ,1 ,4 ,한국,한국,,,,드라마,,
305 ,아가씨 참으세요,1981년 9월 19일 토요일,589000 ,0.0%,589000 ,307 ,307 ,1 ,6 ,한국,한국,(주)동아수출공사,,국민학생관람불가,"드라마,범죄",이형표,"권영문,정윤희,서영란"
306 ,SIFF2018-개막식,,2149000 ,0.0%,2149000 ,306 ,306 ,1 ,1 ,한국,한국,,,,기타,,
307 ,MSFF2018 절대악몽 3,,1817400 ,0.0%,1817400 ,305 ,305 ,1 ,2 ,한국,한국,,,,"공포(호러),판타지",,
308 ,MSFF2018 사랑에 관한 짧은 필름 3,,1823000 ,0.0%,1823000 ,304 ,304 ,1 ,3 ,한국,한국,,,,"멜로/로맨스,드라마",,
308 ,아리랑아,,582000 ,0.0%,582000 ,304 ,304 ,1 ,8 ,한국,한국,(주)동아수출공사,,전체관람가,드라마,정인엽,"최불암,이순재,송재호,도금봉"
308 ,원점,,608000 ,0.0%,2836000 ,304 ,1418 ,1 ,7 ,한국,한국,,,,"액션,멜로/로맨스",이만희,"신성일,문희"
308 ,콕!애니 - [섹션1] Between : 너와 나의 사이,,1514000 ,0.0%,1514000 ,304 ,304 ,2 ,4 ,한국,한국,,,,애니메이션,"한병아,전승배,나정인,김윤희,이은재,한지원",
312 ,암살,2015년 7월 22일 수요일,1914000 ,0.0%,98467187781 ,303 ,12706663 ,1 ,6 ,한국,한국,(주)케이퍼필름,(주)쇼박스,15세이상관람가,"액션,드라마",최동훈,"전지현,이정재,하정우,오달수,조진웅,이경영,최덕문,김의성,박병은,김홍파,강용빈,홍성지,지동주,장현석,장용현,김민지,김승찬,안태랑,김예은,김정석,김정호,김준우,김지원,박상민,박정환,조승우,김해숙,진경,박소은,김인우,심희섭,김태준,차지원,강영묵"
312 ,충녀,1972년 10월 6일 금요일,2423500 ,0.0%,2647500 ,303 ,349 ,1 ,5 ,한국,한국,한립물산,,12세이상관람가,드라마,김기영,"남궁원,윤여정"
