개별감독,누적매출액,누적관객수,스크린수
김현수,39700500,6825,57
장태령,48154500,6551,5
송근식,39599000,6495,2
김봉은,27203000,6317,63
필립 귀엔,45905800,5916,65
박선욱,17349000,5566,99
김태익,38111300,5473,55
박성범,33031500,5400,27
김태희,32156500,5226,8
최현묵,31293500,5165,51
최낙권,10500000,5100,20
고경아,13547000,5067,20
이인수,30413000,4941,68
김인규,16206000,4770,19
남선호,30810500,4699,27
신예지,63191800,4571,5
지영수,33850000,4504,58
유호진,50334000,4453,89
김재수,32474800,4238,55
손영호,20193000,4122,20
한동호,21283000,4090,186
박주영,32488530,3822,91
도창훈,26637900,3772,57
이찬욱,18962000,3739,20
김두영,22983000,3562,9
장길수,21177000,3518,6
노진수,21326000,3493,131
공자관,15198500,3368,39
시즈노 코분,28744000,3295,12
이승원,23924100,3232,57
이민환,15174000,3175,127
전병철,16041000,3141,21
이한열,18446500,3074,13
김상철,22537200,2985,18
장률,18705600,2984,1
전태윤,15839000,2729,21
유정환,19836400,2673,42
NEW PISTOL,13164000,2595,20
미스터 엘,3645000,2530,10
윤여창,13483000,2381,65
최우성,12065000,2255,184
김진원,20590000,2235,3
권용국,13805000,2205,20
김수형,11269000,2204,2
홍수동,10788000,2198,70
김명서,10652000,2146,19
민병국,13703500,2011,6
이성관,14827000,1980,3
박갑종,15451000,1966,5
정태령,11341000,1957,42
박동훈,12643000,1952,2
이전,10263000,1949,102
이지형,8138000,1697,21
한승림,8231000,1694,20
신혜성,3782000,1685,3
유진희,4383000,1651,1
김대성,9570000,1650,101
이상화,7720000,1647,44
최영민,7909000,1567,5
한소준,7495000,1547,20
이동현,7836000,1521,141
조태호,8968000,1477,264
이난,10687400,1423,10
채길병,7274000,1374,63
전수일,8571000,1334,1
김미연,7932000,1333,42
신재인,7551500,1320,1
이영인,5854000,1225,21
백승기,8802400,1159,10
차룡,2755000,1144,11
김효재,5748000,1117,40
김태수,5921000,1114,121
김문옥,2477000,1104,3
양병간,9775000,1103,5
조성규,9730500,1069,37
이진명,5643000,1011,60
장성수,6219000,994,21
권재웅,2720000,987,1
백철기,7694800,968,11
김일종,4515000,916,20
이리단,5258000,915,143
최율권희,4744000,910,42
송원근,8172000,908,2
이재훈,4308000,894,20
김응수,5488000,860,3
유승택,5174000,855,60
탁승오,5638000,840,37
명석환,4475000,819,102
문인대,3775000,805,4
이종한,3360500,797,1
김민욱,4248000,795,40
김광중,4088000,791,20
이도시,4084000,781,40
이세종,4913000,770,21
이준학,5295500,748,17
강명진,4511000,742,42
노병하,4131000,697,22
김창만,3397500,678,3
허은희,4325500,677,5
노현진,3515000,673,81
이슬,3406000,652,78
이영민,4120000,651,39
이돌,3366000,649,60
임현태,3815000,643,100
유재완,3970000,633,3
임진승,2905000,631,4
야마삐,3337000,620,39
고광현,3011000,603,21
강훈,3723000,588,19
조성우,2950000,567,21
이상빈,2926000,559,20
정진호,3009000,545,61
김삼력,3334500,539,1
정대만,2768000,537,41
이상우,3042000,531,64
국만중,2806000,531,60
임흥순,3658000,523,2
곽영근,3060000,521,63
황상원,3352000,518,20
민병천,1556000,518,1
정도수,2670000,516,20
최원준,2560000,497,20
임선,4172000,490,1
조형운,2507000,484,20
김세성,2295000,472,20
이정국,2686000,469,2
원성진,3038500,459,7
조경훈,2508000,456,41
김부곤,2699000,453,182
성우진,2263000,444,20
왕지방,2472000,436,40
유해종,2859000,432,124
전화성,2864000,425,4
방현준,2779000,419,3
김종민,1982000,416,82
원석호,2335000,412,43
유준석,2046000,408,4
박범훈,2625000,408,2
김현빈,2190000,399,40
박은수,1937000,394,41
송예섭,3248000,393,2
노경태,2410000,372,2
황철민,2649500,372,2
김학묵,1929000,368,20
소영환,2132000,364,20
오상원,1851000,359,40
계장혁,1989000,357,40
에로핑,1926000,357,41
노승택,1948000,354,40
조일준,1839000,346,40
김윤철,2513000,343,9
김진홍,1750000,340,20
모리카와 케이,2411000,337,20
마의성,1686000,334,40
손영국,3896000,332,5
이광호,1400000,330,2
문시현,2352500,325,7
황성욱,1584000,313,20
김철수,1587000,313,20
백수호,1634000,311,20
한우진,1575000,303,20
손재명,2103000,302,3
강현철,1605000,297,21
신현철,1645000,283,22
이승환,1465000,283,20
강백호,1579000,282,44
최무연,1450000,276,22
안일환,1571000,275,21
김회근,1558500,262,3
김무원,1323000,252,42
이영화,1000000,250,5
김병관,1322000,250,20
