순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index,KNN
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,이준혁,1,2019,5,0,6,7,42,2,1069865.0000000005
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,이준혁,1,2019,5,0,0,7,42,2,1069865.0000000005
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,김광규,1,2019,5,0,6,7,57,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,김광규,1,2019,5,0,0,7,57,2,988451.9999999999
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,민지아,1,2019,5,0,6,7,58,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,민지아,1,2019,5,0,0,7,58,2,988451.9999999999
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,윤경호,1,2019,5,0,6,7,59,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,윤경호,1,2019,5,0,0,7,59,2,988451.9999999999
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,김현목,1,2019,5,0,6,7,60,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,김현목,1,2019,5,0,0,7,60,2,988451.9999999999
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,권혁범,1,2019,5,0,6,7,61,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,권혁범,1,2019,5,0,0,7,61,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,이호수,1,2019,5,0,6,7,62,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,이호수,1,2019,5,0,0,7,62,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,김상겸,1,2019,5,0,6,7,63,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,김상겸,1,2019,5,0,0,7,63,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,판타지,강효진,조성희,1,2019,5,0,6,7,64,2,1214237.9999999995
8,내안의 그놈,16294330567.0,16412866567.0,1901759,1916930,1041,(주)메리크리스마스,15세관람가,코미디,강효진,조성희,1,2019,5,0,0,7,64,2,1472147.999999999
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,공효진,1,2019,1,0,2,8,65,5,233211.99999999988
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,액션,한준희,공효진,1,2019,1,0,3,8,65,5,233211.99999999988
9,뺑반,15222811848.0,15222811848.0,1826714,1826714,1285,(주)쇼박스,15세관람가,범죄,한준희,류준열,1,2019,1,0,2,8,15,5,1214237.9999999995
